# energy s p d
-5.167899999999999494e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.143900000000000361e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.119899999999999451e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.095900000000000318e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.071899999999999409e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.047900000000000276e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.023899999999999366e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.999900000000000233e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.975900000000000212e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.951900000000000190e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.927900000000000169e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.903900000000000148e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.879900000000000126e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.855900000000000105e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.831900000000000084e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.807900000000000063e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.783900000000000041e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.759900000000000020e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.735899999999999999e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.711899999999999977e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.687899999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.663899999999999935e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.639899999999999913e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.615899999999999892e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.591899999999999871e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.567899999999999849e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.543899999999999828e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.519899999999999807e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.495899999999999785e+00 2.179999999999999993e-01 7.599999999999999117e-03 4.279999999999999777e-02
-4.471899999999999764e+00 3.809000000000000163e-01 2.000000000000000042e-02 3.166999999999999815e-01
-4.447899999999999743e+00 7.665999999999999481e-01 4.230000000000000426e-02 6.309000000000000163e-01
-4.423899999999999721e+00 5.451000000000000290e-01 3.869999999999999829e-02 6.189000000000000057e-01
-4.399899999999999700e+00 5.681000000000000494e-01 4.470000000000000362e-02 7.566999999999999282e-01
-4.375899999999999679e+00 5.608999999999999542e-01 4.950000000000000233e-02 8.443000000000000504e-01
-4.351899999999999658e+00 5.434999999999999831e-01 5.400000000000000633e-02 9.226999999999999647e-01
-4.327899999999999636e+00 7.677000000000000490e-01 1.028000000000000025e-01 1.945599999999999774e+00
-4.303899999999999615e+00 5.794000000000000261e-01 8.949999999999999623e-02 1.767500000000000071e+00
-4.279899999999999594e+00 2.215000000000000024e-01 5.369999999999999774e-02 5.701000000000000512e-01
-4.255900000000000460e+00 2.068000000000000116e-01 5.409999999999999531e-02 5.713000000000001410e-01
-4.231899999999999551e+00 1.925999999999999934e-01 5.470000000000000556e-02 5.755000000000000115e-01
-4.207900000000000418e+00 1.791999999999999982e-01 5.509999999999999620e-02 5.826999999999999957e-01
-4.183899999999999508e+00 1.663000000000000034e-01 5.569999999999999257e-02 5.927999999999999936e-01
