# energy s p d
-5.184999999999999609e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.160999999999999588e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.136999999999999567e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.112999999999999545e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.089000000000000412e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.064999999999999503e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.040999999999999481e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.016999999999999460e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.993000000000000327e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.968999999999999417e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.945000000000000284e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.920999999999999375e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.897000000000000242e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.872999999999999332e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.849000000000000199e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.824999999999999289e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.801000000000000156e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.776999999999999247e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.753000000000000114e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.729000000000000092e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.705000000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.681000000000000050e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.657000000000000028e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.633000000000000007e+00 1.200000000000000112e-03 0.000000000000000000e+00 3.200000000000000587e-03
-4.608999999999999986e+00 1.080000000000000057e-02 1.200000000000000112e-03 1.959999999999999590e-02
-4.584999999999999964e+00 1.740000000000000227e-02 4.799999999999999580e-03 3.679999999999999938e-02
-4.560999999999999943e+00 2.839999999999999816e-02 7.199999999999998936e-03 5.830000000000000460e-02
-4.536999999999999922e+00 4.419999999999999624e-02 1.199999999999999852e-02 8.230000000000001203e-02
-4.512999999999999901e+00 6.110000000000000153e-02 2.520000000000000018e-02 1.369000000000000217e-01
-4.488999999999999879e+00 8.399999999999999134e-02 3.930000000000000160e-02 1.718000000000000083e-01
-4.464999999999999858e+00 1.105000000000000149e-01 5.690000000000000613e-02 2.055000000000000160e-01
-4.440999999999999837e+00 1.383999999999999952e-01 6.679999999999999827e-02 2.076000000000000068e-01
-4.416999999999999815e+00 1.524999999999999967e-01 6.999999999999999278e-02 2.046000000000000041e-01
-4.392999999999999794e+00 1.616999999999999826e-01 7.440000000000000779e-02 2.021999999999999909e-01
-4.368999999999999773e+00 1.670000000000000095e-01 8.020000000000000739e-02 2.006999999999999895e-01
-4.344999999999999751e+00 1.713999999999999968e-01 8.639999999999999070e-02 2.019000000000000239e-01
-4.320999999999999730e+00 1.711999999999999911e-01 9.030000000000000526e-02 1.955000000000000071e-01
-4.296999999999999709e+00 1.719999999999999862e-01 9.529999999999999583e-02 1.890000000000000013e-01
-4.272999999999999687e+00 1.974999999999999811e-01 1.113999999999999990e-01 2.199999999999999734e-01
-4.248999999999999666e+00 1.426000000000000045e-01 1.043999999999999928e-01 1.514000000000000068e-01
-4.224999999999999645e+00 1.318000000000000005e-01 1.139000000000000290e-01 1.356000000000000261e-01
-4.200999999999999623e+00 1.456000000000000072e-01 1.439999999999999891e-01 1.471000000000000085e-01
-4.176999999999999602e+00 1.693000000000000060e-01 1.902999999999999969e-01 1.678999999999999937e-01
-4.152999999999999581e+00 1.869999999999999996e-01 2.197999999999999954e-01 1.827000000000000013e-01
-4.128999999999999559e+00 1.987999999999999767e-01 2.358999999999999986e-01 1.986999999999999877e-01
-4.104999999999999538e+00 2.096999999999999975e-01 2.220999999999999919e-01 1.988999999999999935e-01
-4.080999999999999517e+00 2.231999999999999817e-01 2.118000000000000160e-01 2.077999999999999570e-01
-4.056999999999999496e+00 2.392999999999999849e-01 2.037000000000000199e-01 2.205999999999999628e-01
-4.032999999999999474e+00 2.534000000000000141e-01 1.973999999999999921e-01 2.280999999999999972e-01
-4.008999999999999453e+00 2.590000000000000080e-01 1.889000000000000123e-01 2.295999999999999985e-01
-3.984999999999999876e+00 2.601999999999999869e-01 1.799000000000000044e-01 2.259000000000000452e-01
-3.960999999999999854e+00 2.509000000000000119e-01 1.691999999999999893e-01 2.134999999999999953e-01
-3.936999999999999833e+00 2.156000000000000139e-01 1.511000000000000121e-01 1.800000000000000211e-01
-3.912999999999999812e+00 2.155000000000000249e-01 1.466000000000000081e-01 1.769999999999999907e-01
-3.888999999999999790e+00 2.406999999999999695e-01 4.526000000000000023e-01 1.965000000000000080e-01
-3.864999999999999769e+00 2.082999999999999852e-01 3.144000000000000128e-01 1.706999999999999906e-01
-3.840999999999999748e+00 1.769000000000000294e-01 2.828000000000000513e-01 1.459000000000000019e-01
-3.816999999999999726e+00 1.847000000000000031e-01 2.656999999999999917e-01 1.559999999999999998e-01
-3.792999999999999705e+00 1.030999999999999833e-01 2.155999999999999583e-01 9.339999999999999691e-02
-3.768999999999999684e+00 8.889999999999999292e-02 2.111000000000000376e-01 8.410000000000000808e-02
-3.744999999999999662e+00 9.020000000000000240e-02 2.457000000000000295e-01 8.569999999999998452e-02
-3.720999999999999641e+00 8.650000000000000744e-02 3.109999999999999987e-01 8.650000000000000744e-02
-3.696999999999999620e+00 7.570000000000000340e-02 4.016999999999999460e-01 8.510000000000000897e-02
-3.673000000000000043e+00 6.060000000000000803e-02 5.462000000000000188e-01 9.590000000000001301e-02
-3.649000000000000021e+00 4.409999999999999337e-02 4.504000000000000226e-01 8.640000000000000457e-02
-3.625000000000000000e+00 3.459999999999999881e-02 4.867000000000000215e-01 9.009999999999999953e-02
-3.600999999999999979e+00 2.790000000000000119e-02 5.448000000000000620e-01 9.830000000000001237e-02
-3.576999999999999957e+00 2.239999999999999977e-02 6.654999999999999805e-01 1.333999999999999908e-01
