# energy dos
-4.344999999999999751e+00 3.657300000000000040e+01
-4.320999999999999730e+00 3.561639999999999873e+01
-4.296999999999999709e+00 3.578790000000000049e+01
-4.272999999999999687e+00 4.133059999999999690e+01
-4.248999999999999666e+00 3.094960000000000022e+01
-4.224999999999999645e+00 2.835460000000000136e+01
-4.200999999999999623e+00 3.146940000000000026e+01
-4.176999999999999602e+00 3.584940000000000282e+01
-4.152999999999999581e+00 3.882350000000000279e+01
-4.128999999999999559e+00 4.640630000000000166e+01
-4.104999999999999538e+00 4.182500000000000284e+01
-4.080999999999999517e+00 4.187210000000000321e+01
-4.056999999999999496e+00 4.445810000000000173e+01
-4.032999999999999474e+00 4.119169999999999732e+01
-4.008999999999999453e+00 4.014529999999999887e+01
-3.984999999999999876e+00 3.853370000000000317e+01
-3.960999999999999854e+00 3.591190000000000282e+01
-3.936999999999999833e+00 3.099849999999999994e+01
-3.912999999999999812e+00 3.003099999999999881e+01
-3.888999999999999790e+00 3.628379999999999939e+01
-3.864999999999999769e+00 3.147040000000000148e+01
-3.840999999999999748e+00 2.813040000000000163e+01
-3.816999999999999726e+00 2.931540000000000035e+01
-3.792999999999999705e+00 2.054560000000000031e+01
-3.768999999999999684e+00 1.943769999999999953e+01
-3.744999999999999662e+00 2.078600000000000136e+01
-3.720999999999999641e+00 2.207110000000000127e+01
-3.696999999999999620e+00 2.265449999999999875e+01
-3.673000000000000043e+00 2.401670000000000016e+01
-3.649000000000000021e+00 2.003219999999999956e+01
-3.625000000000000000e+00 1.997820000000000107e+01
-3.600999999999999979e+00 2.100890000000000057e+01
-3.576999999999999957e+00 2.570710000000000051e+01
-3.552999999999999936e+00 3.105389999999999873e+01
-3.528999999999999915e+00 3.860479999999999734e+01
-3.504999999999999893e+00 2.482389999999999830e+01
-3.480999999999999872e+00 2.343580000000000041e+01
-3.456999999999999851e+00 5.030259999999999820e+01
-3.432999999999999829e+00 1.175221999999999980e+02
-3.408999999999999808e+00 5.788629999999999853e+01
-3.384999999999999787e+00 4.718679999999999808e+01
-3.360999999999999766e+00 3.781479999999999819e+01
-3.336999999999999744e+00 3.200099999999999767e+01
-3.312999999999999723e+00 2.844429999999999836e+01
-3.288999999999999702e+00 2.653409999999999869e+01
-3.264999999999999680e+00 2.657870000000000132e+01
-3.240999999999999659e+00 3.007870000000000132e+01
-3.216999999999999638e+00 3.441579999999999728e+01
-3.192999999999999616e+00 3.560049999999999670e+01
-3.168999999999999595e+00 3.941740000000000066e+01
-3.144999999999999574e+00 4.293549999999999756e+01
-3.120999999999999996e+00 4.235210000000000008e+01
-3.096999999999999975e+00 8.210689999999999600e+01
-3.072999999999999954e+00 8.151449999999999818e+01
-3.048999999999999932e+00 7.582160000000000366e+01
-3.024999999999999911e+00 6.684120000000000061e+01
-3.000999999999999890e+00 8.166419999999999391e+01
-2.976999999999999869e+00 7.275000000000000000e+01
-2.952999999999999847e+00 7.457659999999999911e+01
-2.928999999999999826e+00 7.821609999999999729e+01
-2.904999999999999805e+00 8.653530000000000655e+01
-2.880999999999999783e+00 8.017210000000000036e+01
-2.856999999999999762e+00 5.075489999999999924e+01
-2.832999999999999741e+00 2.420279999999999987e+01
-2.808999999999999719e+00 2.971219999999999928e+01
-2.784999999999999698e+00 1.926910000000000167e+01
-2.760999999999999677e+00 1.648029999999999973e+01
-2.736999999999999655e+00 1.451600000000000001e+01
-2.712999999999999634e+00 1.492309999999999981e+01
-2.688999999999999613e+00 1.546529999999999916e+01
-2.664999999999999591e+00 1.614260000000000161e+01
-2.641000000000000014e+00 1.654570000000000007e+01
-2.616999999999999993e+00 1.665409999999999968e+01
-2.592999999999999972e+00 1.669350000000000023e+01
-2.568999999999999950e+00 1.663449999999999918e+01
-2.544999999999999929e+00 1.646369999999999933e+01
-2.520999999999999908e+00 1.618110000000000070e+01
-2.496999999999999886e+00 1.605399999999999849e+01
-2.472999999999999865e+00 1.597119999999999962e+01
-2.448999999999999844e+00 1.564620000000000033e+01
-2.424999999999999822e+00 1.534670000000000023e+01
-2.400999999999999801e+00 1.530339999999999989e+01
-2.376999999999999780e+00 1.864590000000000103e+01
-2.352999999999999758e+00 1.810229999999999961e+01
-2.328999999999999737e+00 1.815109999999999957e+01
-2.304999999999999716e+00 1.941600000000000037e+01
-2.280999999999999694e+00 2.197030000000000172e+01
-2.256999999999999673e+00 2.163060000000000116e+01
-2.232999999999999652e+00 1.825600000000000023e+01
-2.208999999999999631e+00 2.045420000000000016e+01
-2.184999999999999609e+00 2.983559999999999945e+01
-2.160999999999999588e+00 1.737290000000000134e+01
-2.136999999999999567e+00 1.710970000000000013e+01
-2.112999999999999545e+00 1.689730000000000132e+01
-2.088999999999999524e+00 1.785320000000000107e+01
-2.064999999999999503e+00 1.922159999999999869e+01
-2.040999999999999481e+00 2.047409999999999997e+01
-2.016999999999999460e+00 2.998079999999999856e+01
-1.992999999999999883e+00 2.641560000000000130e+01
-1.968999999999999861e+00 2.514369999999999905e+01
-1.944999999999999840e+00 2.394750000000000156e+01
-1.920999999999999819e+00 2.228119999999999834e+01
-1.896999999999999797e+00 2.173329999999999984e+01
-1.872999999999999776e+00 2.391369999999999862e+01
-1.848999999999999755e+00 2.456139999999999901e+01
-1.824999999999999734e+00 2.074990000000000023e+01
-1.800999999999999712e+00 1.489879999999999960e+01
-1.776999999999999691e+00 1.496189999999999998e+01
-1.752999999999999892e+00 1.551110000000000078e+01
-1.728999999999999870e+00 1.641009999999999991e+01
-1.704999999999999849e+00 1.612490000000000023e+01
-1.680999999999999828e+00 1.528459999999999930e+01
-1.656999999999999806e+00 2.122169999999999845e+01
-1.632999999999999785e+00 3.544109999999999872e+01
-1.608999999999999764e+00 3.696840000000000259e+01
-1.584999999999999742e+00 2.416529999999999845e+01
-1.560999999999999721e+00 1.558970000000000056e+01
-1.536999999999999700e+00 1.431509999999999927e+01
-1.512999999999999678e+00 1.524629999999999974e+01
-1.488999999999999879e+00 1.594289999999999985e+01
-1.464999999999999858e+00 1.743359999999999843e+01
-1.440999999999999837e+00 2.029990000000000094e+01
-1.416999999999999815e+00 2.332979999999999876e+01
-1.392999999999999794e+00 2.668049999999999855e+01
-1.368999999999999773e+00 3.755250000000000199e+01
-1.344999999999999751e+00 4.907390000000000185e+01
-1.320999999999999730e+00 5.657739999999999725e+01
-1.296999999999999709e+00 5.654740000000000322e+01
-1.272999999999999687e+00 5.539370000000000260e+01
-1.248999999999999888e+00 8.211339999999999861e+01
-1.224999999999999867e+00 6.531050000000000466e+01
-1.200999999999999845e+00 5.842340000000000089e+01
-1.176999999999999824e+00 6.160669999999999646e+01
-1.152999999999999803e+00 5.260649999999999693e+01
-1.128999999999999782e+00 4.571600000000000108e+01
-1.104999999999999760e+00 3.603309999999999746e+01
-1.080999999999999961e+00 2.859349999999999881e+01
-1.056999999999999940e+00 2.999220000000000041e+01
-1.032999999999999918e+00 3.278359999999999985e+01
